threshold,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate
0.43,0.7467532467532467,0.5974025974025974,0.8518518518518519,0.69,0.7022900763358778,0.7709259259259259,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5
0.44,0.7467532467532467,0.6027397260273972,0.8148148148148148,0.71,0.6929133858267716,0.7624074074074074,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.474025974025974
0.45,0.7597402597402597,0.6197183098591549,0.8148148148148148,0.73,0.704,0.7724074074074074,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.461038961038961
0.46,0.7597402597402597,0.6231884057971014,0.7962962962962963,0.74,0.6991869918699187,0.7681481481481481,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.44805194805194803
0.47,0.7532467532467533,0.6176470588235294,0.7777777777777778,0.74,0.6885245901639344,0.758888888888889,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.44155844155844154
0.48,0.7532467532467533,0.6176470588235294,0.7777777777777778,0.74,0.6885245901639344,0.758888888888889,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.44155844155844154
0.49,0.7467532467532467,0.6119402985074627,0.7592592592592593,0.74,0.6776859504132231,0.7496296296296296,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.43506493506493504
0.5,0.7467532467532467,0.6119402985074627,0.7592592592592593,0.74,0.6776859504132231,0.7496296296296296,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.43506493506493504
0.51,0.7402597402597403,0.6060606060606061,0.7407407407407407,0.74,0.6666666666666666,0.7403703703703703,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.42857142857142855
0.52,0.7467532467532467,0.6153846153846154,0.7407407407407407,0.75,0.6722689075630253,0.7453703703703703,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.42207792207792205
0.53,0.7402597402597403,0.609375,0.7222222222222222,0.75,0.6610169491525424,0.7361111111111112,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.4155844155844156
0.54,0.7402597402597403,0.609375,0.7222222222222222,0.75,0.6610169491525424,0.7361111111111112,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.4155844155844156
0.55,0.7337662337662337,0.6065573770491803,0.6851851851851852,0.76,0.6434782608695652,0.7225925925925927,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.3961038961038961
0.56,0.7402597402597403,0.6166666666666667,0.6851851851851852,0.77,0.6491228070175439,0.7275925925925926,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.38961038961038963
0.57,0.7337662337662337,0.6140350877192983,0.6481481481481481,0.78,0.6306306306306306,0.7140740740740741,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.37012987012987014
0.58,0.7467532467532467,0.6363636363636364,0.6481481481481481,0.8,0.6422018348623854,0.7240740740740741,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.35714285714285715
0.59,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.82,0.6415094339622641,0.7248148148148148,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.33766233766233766
0.6,0.7532467532467533,0.66,0.6111111111111112,0.83,0.6346153846153846,0.7205555555555556,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.3246753246753247
