threshold,accuracy,precision,recall,f1_score,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate,selection_score
0.4,0.11475409836065574,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.03571428571428571,0.10876623376623376,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5409836065573771,0.1613527578724236
0.41,0.11475409836065574,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.03571428571428571,0.10876623376623376,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5409836065573771,0.1613527578724236
0.42,0.11475409836065574,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.03571428571428571,0.10876623376623376,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5409836065573771,0.1613527578724236
0.43,0.11475409836065574,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.03571428571428571,0.10876623376623376,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5409836065573771,0.1613527578724236
0.5,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.51,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.52,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.53,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.54,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.55,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.56,0.16393442622950818,0.17857142857142858,0.15151515151515152,0.16393442622950818,0.17857142857142858,0.16504329004329005,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.45901639344262296,0.17392106388335254
0.48,0.13114754098360656,0.16666666666666666,0.15151515151515152,0.15873015873015872,0.10714285714285714,0.12932900432900432,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4918032786885246,0.15674958326924898
0.49,0.13114754098360656,0.16666666666666666,0.15151515151515152,0.15873015873015872,0.10714285714285714,0.12932900432900432,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4918032786885246,0.15674958326924898
0.47,0.11475409836065574,0.16129032258064516,0.15151515151515152,0.15625,0.07142857142857142,0.11147186147186147,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5081967213114754,0.14826712039162482
0.44,0.09836065573770492,0.15625,0.15151515151515152,0.15384615384615385,0.03571428571428571,0.09361471861471862,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5245901639344263,0.13984634761601336
0.45,0.09836065573770492,0.15625,0.15151515151515152,0.15384615384615385,0.03571428571428571,0.09361471861471862,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5245901639344263,0.13984634761601336
0.46,0.09836065573770492,0.15625,0.15151515151515152,0.15384615384615385,0.03571428571428571,0.09361471861471862,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5245901639344263,0.13984634761601336
0.57,0.14754098360655737,0.14814814814814814,0.12121212121212122,0.13333333333333333,0.17857142857142858,0.1498917748917749,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4426229508196721,0.15109590361556935
0.58,0.14754098360655737,0.14814814814814814,0.12121212121212122,0.13333333333333333,0.17857142857142858,0.1498917748917749,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4426229508196721,0.15109590361556935
0.59,0.14754098360655737,0.14814814814814814,0.12121212121212122,0.13333333333333333,0.17857142857142858,0.1498917748917749,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4426229508196721,0.15109590361556935
0.6,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.61,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.62,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.63,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.64,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.65,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.66,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.67,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.68,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.69,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.7,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.71,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.72,0.13114754098360656,0.11538461538461539,0.09090909090909091,0.1016949152542373,0.17857142857142858,0.13474025974025974,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4262295081967213,0.12769946201573792
0.87,0.21311475409836064,0.10526315789473684,0.06060606060606061,0.07692307692307693,0.39285714285714285,0.22673160173160173,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.3114754098360656,0.15179985463530984
